5.555573287968086;0.0	9.024937804189992;0.0	6.934743924390234;0.0	5.888567411562175;0.0	5.066642658374919;0.0	
9.310725078338471;0.0	10.147006132730231;0.0	8.995464960953003;0.0	8.583507076937986;0.0	7.849557183797232;0.0	
8.851716123829707;0.0	9.96574042073818;0.0	9.042634726377852;0.0	9.061784784692847;0.0	7.865770543909747;0.0	
7.62203669311312;0.0	8.350615955414016;0.0	7.606972445116999;0.0	7.41223815934896;0.0	7.247367051454349;0.0	
7.7509127597286245;0.0	9.336410308751947;0.0	7.974589759060065;0.0	9.980000996778582;0.0	10.385098221522078;0.0	
8.143980911264318;0.0	8.686696016746101;0.0	7.2631469147448335;0.0	9.390558316396392;0.0	8.866318233027584;0.0	
8.419211457998694;0.0	8.991622992450024;0.0	8.938703920800751;0.0	8.702357960721056;0.0	8.15525748777086;0.0	
8.712387484794968;0.0	10.209258860626015;0.0	9.118458469462139;0.0	8.295172059231858;0.0	7.909163741097729;0.0	
8.493448738937342;0.0	9.98092808028997;0.0	7.238628050402202;0.0	7.066917731849732;0.0	6.916743373780826;0.0	
8.614742958897102;0.0	9.75709728840534;0.0	8.754937193233344;0.0	8.821937221120336;0.0	8.274872987943393;0.0	
8.1459355251213;0.0	10.221819246711744;0.0	7.2473479757330255;0.0	7.4773585706675965;0.0	8.247483775275192;0.0	
6.901841146139379;0.0	7.966559942021259;0.0	6.7472212242563625;0.0	6.568812389025198;0.0	6.521220921083323;0.0	
7.964995158363624;0.0	10.766484793841288;0.0	7.86454709761862;0.0	8.659273701848154;0.0	8.447897167833798;0.0	
8.576062963104798;0.0	10.605378417631439;0.0	9.288234010113198;0.0	8.667004413614638;0.0	8.664204558591939;0.0	
7.377863230169827;0.0	8.56724347934606;0.0	7.037041312378936;0.0	8.550265292122592;0.0	7.787990524884946;0.0	
6.769522651211192;0.0	9.525445339949131;0.0	8.597390609970194;0.0	10.161293979231155;0.0	9.44573203429323;0.0	
7.129284664226561;0.0	8.481373159294106;0.0	7.637042584305107;0.0	8.004359660096796;0.0	7.707426554292447;0.0	
9.021206881288965;0.0	9.41545869730665;0.0	7.7482535271760264;0.0	7.6895221801706235;0.0	8.443254940639378;0.0	
8.90104627464392;0.0	11.233618219728658;0.0	9.196741719641787;0.0	8.999566501698752;0.0	8.971903754448785;0.0	
8.533416890116587;0.0	10.91575963152222;0.0	9.150433818109304;0.0	9.173035552327221;0.0	8.219240566407535;0.0	
6.513733181195063;0.0	9.836208319304871;0.0	7.514645708050427;0.0	6.73410840647422;0.0	7.074350909252085;0.0	
6.413321534724024;0.0	9.652734006732633;0.0	6.751998986629754;0.0	6.530861984577157;0.0	7.100212151068302;0.0	
6.425490024704972;0.0	8.146557978367916;0.0	6.506687638155557;0.0	6.299725683834227;0.0	6.079729615739708;0.0	
8.233919592428029;0.0	9.507000834515484;0.0	9.023915535642425;0.0	9.819209040417455;0.0	9.785239713073068;0.0	
7.36877367257613;0.0	8.747265497528899;0.0	7.171707191023554;0.0	9.254300986871298;0.0	9.203213824530408;0.0	
7.362106151588878;0.0	8.414279496113409;0.0	7.24592890195099;0.0	8.131142837018713;0.0	7.973505649871895;0.0	
7.933993771999505;0.0	9.928182341937328;0.0	9.205232589320094;0.0	9.479492808765535;0.0	10.130539489346631;0.0	
7.535420181266562;0.0	8.951542646745402;0.0	8.094937568924795;0.0	7.5483341063624625;0.0	8.431528594105737;0.0	
7.157410693740014;0.0	8.235608070481536;0.0	6.9535902506535825;0.0	7.372703766396016;0.0	9.448189119987834;0.0	
5.703581791188341;0.0	8.039284644306385;0.0	6.828009869834424;0.0	7.658949502129111;0.0	9.657434420077397;0.0	
5.399934100694869;0.0	7.328492032790946;0.0	6.183340480700556;0.0	7.081936869830624;0.0	8.962329986771795;0.0	
6.058990624736346;0.0	8.934300677829969;0.0	9.003891508673068;0.0	8.902068932020608;0.0	8.767155574061084;0.0	
9.690909759467367;0.0	10.999773067080923;0.0	9.915443296042797;0.0	8.471199898390187;0.0	8.662119456528096;0.0	
8.37181260727778;0.0	11.360152100662475;0.0	9.802339782547316;0.0	8.031147015725324;0.0	8.42596285127782;0.0	
6.3018251528380125;0.0	9.166204848773436;0.0	7.985721369946716;0.0	6.755200666537003;0.0	7.139039739931405;0.0	
7.069075058005714;0.0	9.109129811459324;0.0	7.637962922289315;0.0	6.478799958703143;0.0	6.731571359430766;0.0	
6.8049688977288145;0.0	9.676526123856608;0.0	7.251115157761026;0.0	5.685776366446148;0.0	6.56320743508651;0.0	
5.737585886362196;0.0	8.429452809441642;0.0	7.267106814827283;0.0	5.956162328919575;0.0	5.9537902810180166;0.0	
6.3423242791947985;0.0	8.164838928759206;0.0	6.558470986550107;0.0	5.8728035726340435;0.0	6.289898852006823;0.0	
5.959924481750869;0.0	9.009710145604046;0.0	6.605737320982703;0.0	5.457468821150949;0.0	5.70706220979917;0.0	
5.259332877614336;0.0	8.038861801123426;0.0	5.689553420674994;0.0	5.0420135142578815;0.0	5.547776305853592;0.0	
3.0912913608289037;0.0	7.623207751938587;0.0	5.9716185533226795;0.0	4.757052236958984;0.0	5.0340366464336945;0.0	
4.30300807248232;0.0	8.068198196416807;0.0	6.163018247952894;0.0	4.490076654567066;0.0	4.91021403598842;0.0	
4.527783786430817;0.0	7.61624724539419;0.0	5.842406859115357;0.0	4.199721968219116;0.0	4.484562848876313;0.0	
3.9691739417672705;0.0	6.7192821636563975;0.0	5.2092224814787835;0.0	4.879709043399144;0.0	4.2253981657290325;0.0	
4.147519430286734;0.0	6.858777755700674;0.0	5.206704049886478;0.0	4.505021593033325;0.0	4.275083212498393;0.0	
7.485723795177887;0.0	7.531790689475364;0.0	5.85497745029482;0.0	5.6174297227276835;0.0	5.756367342677997;0.0	
10.421235175222408;0.0	10.279783442063831;0.0	7.316750023145627;0.0	7.666233438760287;0.0	7.13253100095091;0.0	
9.242074523999744;0.0	11.24849057240273;0.0	9.22547019636684;0.0	8.939442264642349;0.0	8.097861218226154;0.0	
7.106309839207277;0.0	9.27262164191303;0.0	7.538020547988969;0.0	6.8701971388531256;0.0	6.3073840525659195;0.0	
6.937626143811344;0.0	8.898295544715875;0.0	6.834497323166308;0.0	6.454914278321365;0.0	5.706683174497183;0.0	
9.113150952953132;0.0	10.102828596272401;0.0	9.473265611139121;0.0	8.757578967643441;0.0	9.289038339778735;0.0	
8.250045207809295;0.0	11.471144254871927;0.0	9.819982430398525;0.0	8.824945085129341;0.0	8.521079502090828;0.0	
7.074013237277896;0.0	9.149096520404575;0.0	7.34580129354062;0.0	6.873320373974528;0.0	6.710169087150897;0.0	
7.02416533106589;0.0	9.786047924051234;0.0	7.587519827550713;0.0	7.014039679920139;0.0	7.377868965658667;0.0	
8.758188266589906;0.0	11.37881191250308;0.0	8.995609602957348;0.0	7.725277626495392;0.0	8.845310791312976;0.0	
8.916910214719152;0.0	11.635169418422002;0.0	9.432084052408074;0.0	7.400006941483341;0.0	8.596628250408669;0.0	
9.004682236404092;0.0	10.102435895494356;0.0	8.274742400868716;0.0	7.375914261175292;0.0	8.053353535425702;0.0	
8.821505894693985;0.0	11.020641351279284;0.0	8.851950007435944;0.0	6.815116419486378;0.0	8.099282522154681;0.0	
7.86407657718454;0.0	10.536419859424392;0.0	8.856548473515385;0.0	6.84166067477942;0.0	7.557655346407193;0.0	
5.881125930281747;0.0	9.435357590643838;0.0	7.772797472192563;0.0	6.53277636035782;0.0	6.419014372358239;0.0	
7.375200071960784;0.0	10.239649835972084;0.0	8.450664813319595;0.0	6.38372817736658;0.0	7.394720683005903;0.0	
7.360909280262076;0.0	9.476713216892161;0.0	7.556390379752635;0.0	6.016991246330332;0.0	6.522114810351097;0.0	
6.303326573158506;0.0	9.181296046213129;0.0	7.320067488732416;0.0	5.423349200903134;0.0	6.521274043110878;0.0	
